time,addr,bus,data
802.147152402,534,1,b2fff800000000c9
802.147152402,535,1,b2fff800000000ca
802.147152402,536,1,b2087a0500003893
802.147152402,537,1,b2042e00e00001e8
802.147152402,538,1,b2176ade2000085d
802.147152402,539,1,b20a00ece00008b5
802.147152402,540,1,b20c54054000007d
802.147152402,541,1,b22058f2c0003033
802.151557038,4097,CarState,ffffffff00000000
802.151557038,4098,CarState,ffffd8f00000106e
802.151557038,4099,CarState,002712
802.151557038,4096,CarState,0000000000000000
802.157155267,180,0,00000000cc000088
802.157155267,180,130,00000000cc000088
802.157155267,37,0,0ff9000050000085
802.157155267,37,130,0ff9000050000085
802.157155267,547,0,000000000000002d
802.157155267,547,130,000000000000002d
802.157155267,36,0,01ff01f1420380e3
802.157155267,36,130,01ff01f1420380e3
802.157155267,740,128,e3000000ce
802.157155267,550,1,b2000000000000e2
802.157155267,836,128,0000010000000050
802.157155267,551,1,b2000000000000e3
802.157155267,552,1,b206347044d0
802.157155267,553,1,b200646244ed
802.157155267,554,1,b2fe00c244e8
802.157155267,555,1,b2000090c83d
802.157155267,556,1,b20003a048d1
802.157155267,557,1,b20803b248ec
802.157155267,558,1,b20600b448ea
802.157155267,559,1,b2020092c845
802.157155267,291,1,0108090d40008a
802.157155267,560,1,b27fff3eb6005d
802.157155267,561,1,b201f5f2000003d8
802.157155267,562,1,b200fe00fe00fee8
802.157155267,976,1,5980808080808034
802.157155267,977,1,5980808080808035
802.157155267,978,1,5980808080808036
802.157155267,979,1,5980808080808037
802.157155267,513,0,01ed03d5034b
802.157155267,513,130,01ed03d5034b
802.157155267,466,0,f830f4ec02f6704b
802.157155267,466,130,f830f4ec02f6704b
802.157155267,610,0,0000000b74
802.157155267,610,130,0000000b74
802.161703496,4097,CarState,ffffffff00000000
802.161703496,4098,CarState,ffffd8f00000101e
802.161703496,4099,CarState,002712
802.161703496,4096,CarState,0000000000000000
802.167159381,37,0,0ff9000040000075
802.167159381,37,130,0ff9000040000075
802.167159381,464,0,0000100000a2008b
802.167159381,464,130,0000100000a2008b
802.167159381,36,0,01ff01f1420380e3
802.167159381,36,130,01ff01f1420380e3
802.167159381,740,128,e5000000d0
802.167159381,296,129,f40190830037
802.167159381,835,128,fb1063c00000007c
802.167159381,643,128,0000000000008c
802.167159381,740,2,f4000000df
802.167159381,608,0,0800040000000076
802.167159381,608,130,0800040000000076
802.167159381,170,0,1a6f1a6f1a6f1a6f
802.167159381,170,130,1a6f1a6f1a6f1a6f
802.167159381,452,0,043e1c0800004073
802.167159381,452,130,043e1c0800004073
802.167159381,186,0,01f100b0
802.167159381,186,130,01f100b0
802.167159381,548,0,0000000000000008
802.167159381,548,130,0000000000000008
802.167159381,321,129,00000046
802.167159381,512,128,000000000984
802.167159381,467,0,00a8418100000046
802.167159381,467,130,00a8418100000046
802.167159381,800,0,0001ff000000002b
802.167159381,800,130,0001ff000000002b
802.171687454,4097,CarState,ffffffff00000000
802.171687454,4098,CarState,ffffd88b0000101e
802.171687454,4099,CarState,002712
802.171687454,4096,CarState,0000000000000000
802.177157506,180,0,00000000cc000088
802.177157506,740,128,e7000000d2
802.177157506,705,0,00024b01a7d20092
802.177157506,705,130,00024b01a7d20092
802.177157506,170,0,1a6f1a6f1a6f1a6f
802.177157506,170,130,1a6f1a6f1a6f1a6f
802.177157506,849,0,00000000
802.177157506,849,130,00000000
802.177157506,513,0,01ec03d504e8
802.177157506,513,130,01ec03d504e8
802.177157506,552,0,800000ae
802.177157506,552,130,800000ae
802.177157506,576,1,e000100100100100
802.177157506,577,1,e000100100100100
802.177157506,580,1,e000100100100100
802.177157506,581,1,e000100100100100
802.177157506,584,1,e000010000000001
802.177157506,426,0,0000000000b1
802.177157506,426,130,0000000000b1
802.177157506,1552,0,20000064c0fffd60
802.177157506,1552,130,20000064c0fffd60
802.177157506,1056,0,fffffffffbff80a2
802.177157506,1056,130,fffffffffbff80a2
802.181598861,4097,CarState,ffffffff00000000
802.181598861,4098,CarState,ffffd88b00000fce
802.181598861,4099,CarState,002712
802.181598861,4096,CarState,0000000000000000
802.187157038,180,130,00000000cc000088
802.187157038,37,0,0ff9000050000085
802.187157038,37,130,0ff9000050000085
802.187157038,547,0,000000000000002d
802.187157038,547,130,000000000000002d
802.187157038,36,0,020001f1420580e7
802.187157038,36,130,020001f1420580e7
802.187157038,740,128,e9000000d4
802.187157038,740,2,f8000000e3
802.187157038,608,0,080004000000087e
802.187157038,608,130,080004000000087e
802.187157038,170,0,1a6f1a6f1a6f1a6f
802.187157038,170,130,1a6f1a6f1a6f1a6f
802.187157038,321,129,00000046
802.187157038,512,128,000000000a8b
802.187157038,528,1,b3fff800000000c4
802.187157038,529,1,b3fff800000000c5
802.191268756,4097,CarState,ffffffff00000000
802.191268756,4098,CarState,ffffd8f000000fce
802.191268756,4099,CarState,002712
802.191268756,4096,CarState,0000000000000000
802.197150163,542,1,b314d2e0c0000869
802.197150163,543,1,b305c806200000cf
802.197150163,37,0,0ff9000050000085
802.197150163,37,130,0ff9000050000085
802.197150163,464,0,0000100000a2008b
802.197150163,544,1,b3000000000000dd
802.197150163,464,130,0000100000a2008b
802.197150163,36,0,020001f1420380e5
802.197150163,545,1,b3000000000000de
802.197150163,36,130,020001f1420380e5
802.197150163,546,1,b30064000004044b
802.197150163,547,1,b3000000000000e0
802.197150163,548,1,b3000000000000e1
802.197150163,549,1,b3fe0000000404e8
802.197150163,740,128,eb000000d6
802.197150163,296,129,f40190830037
802.197150163,835,128,fb1063c00000007c
802.197150163,643,128,0000000000008c
802.197150163,170,0,1a6f1a6f1a6f1a6f
802.197150163,170,130,1a6f1a6f1a6f1a6f
802.197150163,452,0,04431c0800004078
802.197150163,452,130,04431c0800004078
802.197150163,186,0,01f100b0
802.197150163,186,130,01f100b0
802.197150163,548,0,0000000000000008
802.197150163,548,130,0000000000000008
802.197150163,513,0,01eb03d5056f
802.197150163,513,130,01eb03d5056f
802.197150163,552,0,800000ae
802.197150163,552,130,800000ae
802.197150163,466,0,f830f4ec02f07045
802.197150163,466,130,f830f4ec02f07045
802.197150163,467,0,00a8418100000046
802.197150163,467,130,00a8418100000046
802.197150163,610,0,0000000b74
802.197150163,610,130,0000000b74
802.197150163,530,1,b3043200e80001ee
802.197150163,531,1,b3fff800000000c7
802.197150163,532,1,b3fff800000000c8
802.197150163,533,1,b31c92f2e0000153
802.197150163,534,1,b3fff800000000ca
802.197150163,535,1,b3fff800000000cb
802.197150163,536,1,b3087a0500003894
802.197150163,537,1,b3042e00e00001e9
802.197150163,538,1,b3175cdd800000a7
802.197150163,539,1,b30a00ece00008b6
802.197150163,540,1,b30c52054000007c
802.197150163,541,1,b32044f2a00010e0
802.197150163,352,129,0000081201319c51
802.197150163,353,129,001e0000008007
802.197150163,979,0,01dc
802.197150163,979,130,01dc
802.202082402,4097,CarState,ffffffff00000000
802.202082402,4098,CarState,ffffd8f000000f7f
802.202082402,4099,CarState,002712
802.202082402,4096,CarState,0000000000000000
802.202312923,4101,Health,35084507
802.203033392,4102,Thermal,0000000000000000
802.203033392,4103,Thermal,0000000080002703
802.203033392,4104,Thermal,079f3fb1
802.207154694,180,0,00000000cc000088
802.207154694,180,130,00000000cc000088
802.207154694,37,0,0ff9000040000075
802.207154694,37,0,0ff9000040000075
802.207154694,37,130,0ff9000040000075
802.207154694,37,130,0ff9000040000075
802.207154694,547,0,000000000000002d
802.207154694,547,130,000000000000002d
802.207154694,36,0,01ff01f1420380e3
802.207154694,36,0,01ff01f1420580e5
802.207154694,36,130,01ff01f1420380e3
802.207154694,36,130,01ff01f1420580e5
802.207154694,740,128,ed000000d8
802.207154694,550,1,b3000000000000e3
802.207154694,836,128,0000010000000050
802.207154694,551,1,b3000000000000e4
802.207154694,740,2,fa000000e5
802.207154694,705,0,00023801aad10081
802.207154694,552,1,b3002c7044c3
802.207154694,705,130,00023801aad10081
802.207154694,553,1,b300646244ee
802.207154694,608,0,0800030000000075
802.207154694,608,130,0800030000000075
802.207154694,170,0,1a6f1a6f1a6f1a6f
802.207154694,554,1,b3fe00c244e9
802.207154694,170,130,1a6f1a6f1a6f1a6f
802.207154694,555,1,b3000090c83e
802.207154694,556,1,b30003a048d2
802.207154694,557,1,b3f803b248dd
802.207154694,558,1,b3fa00b048db
802.207154694,559,1,b3000092c844
802.207154694,452,0,04411c0800004076
802.207154694,452,130,04411c0800004076
802.207154694,560,1,b37fff3eb7005f
802.207154694,561,1,b301f5f2000003d9
802.207154694,562,1,b300fe00fe00fee9
802.207154694,186,0,01f100b0
802.207154694,186,130,01f100b0
802.207154694,548,0,0000000000000008
802.207154694,548,130,0000000000000008
802.207154694,513,0,01ec03d50651
802.207154694,321,129,00000046
802.207154694,513,130,01ec03d50651
802.207154694,512,128,000000000b3d
802.207154694,800,0,0001ff000000002b
802.207154694,800,130,0001ff000000002b
802.207154694,832,1,5c03ff00000000a9
802.207154694,833,1,5c03ff00000000aa
802.207154694,834,1,5c03ff00000000ab
802.207154694,835,1,5c03ff00000000ac
802.207154694,836,1,5c03ff00000000ad
802.207154694,837,1,5c03ff00000000ae
802.207154694,867,1,5cf92a06d60000c9
802.207154694,868,1,5c000008000000d3
802.207154694,869,1,5c000000000000cc
802.207154694,880,1,5c07ff00000000dd
802.207154694,881,1,5c07ff00000000de
802.207154694,882,1,5c07ff00000000df
802.2148592249999,4100,UbloxGnss,000001fb08511210
802.2171682879999,883,1,5c07ff00000000e0
802.2171682879999,884,1,5c030a0702602f80
802.2171682879999,885,1,5c003200066142b7
802.2171682879999,896,1,5c000000000000e7
802.219989746,4097,CarState,ffffffff00000000
802.219989746,4098,CarState,ffffd88b00000fce
802.219989746,4099,CarState,002712
802.219989746,4096,CarState,0000000000000000
802.2244961,4097,CarState,ffffffff00000000
802.2244961,4098,CarState,ffffd88b00000fce
802.2244961,4099,CarState,002712
802.2244961,4096,CarState,0000000000000000
802.2271619329999,180,0,00000000cc000088
802.2271619329999,180,130,00000000cc000088
802.2271619329999,37,0,0ff9000040000075
802.2271619329999,37,130,0ff9000040000075
802.2271619329999,547,0,000000000000002d
802.2271619329999,547,130,000000000000002d
802.2271619329999,36,0,01ff01f1420580e5
802.2271619329999,36,130,01ff01f1420580e5
802.2271619329999,740,128,ef000000da
802.2271619329999,740,128,f1000000dc
802.2271619329999,296,129,f40190830037
802.2271619329999,835,128,fb1063c00000007c
802.2271619329999,643,128,0000000000008c
802.2271619329999,608,0,0800030000000075
802.2271619329999,608,130,0800030000000075
802.2271619329999,170,0,1a6f1a6f1a6f1a6f
802.2271619329999,170,130,1a6f1a6f1a6f1a6f
802.2271619329999,321,129,00000046
802.2271619329999,512,128,000000000c95
802.2271619329999,552,0,800000ae
802.2271619329999,552,130,800000ae
802.2271619329999,466,0,f830f4ec02ec7041
802.2271619329999,466,130,f830f4ec02ec7041
802.2271619329999,576,1,2000100100100100
802.2271619329999,577,1,2000100100100100
802.2271619329999,580,1,2000100100100100
802.2271619329999,581,1,2000100100100100
802.2271619329999,584,1,2000010000000001
802.2271619329999,467,0,00a8418100000046
802.2271619329999,467,130,00a8418100000046
802.2271619329999,426,0,0000000000b1
802.2271619329999,426,130,0000000000b1
802.2271619329999,897,1,5c000000000000e8
802.2271619329999,898,1,5c000082000051bc
802.2271619329999,899,1,5c7bd68660c000e1
802.2271619329999,1017,0,5198260100000014
802.2271619329999,1017,130,5198260100000014
802.2330673499999,4097,CarState,ffffffff00000000
802.2330673499999,4098,CarState,ffffd88b00000fce
802.2330673499999,4099,CarState,002712
802.2330673499999,4096,CarState,0000000000000000
802.237161881,464,0,0000100000a2008b
802.237161881,464,130,0000100000a2008b
802.237161881,740,128,f3000000de
802.237161881,740,2,fe000000e9
802.237161881,705,0,00022f01a9d10077
802.237161881,705,130,00022f01a9d10077
802.237161881,170,0,1a6f1a6f1a6f1a6f
802.237161881,170,130,1a6f1a6f1a6f1a6f
802.237161881,849,0,00000000
802.237161881,849,130,00000000
802.237161881,513,0,01ed03d507ec
802.237161881,513,130,01ed03d507ec
802.237161881,610,0,0000000b74
802.237161881,610,130,0000000b74
802.237161881,528,1,b4fff800000000c5
802.237161881,529,1,b4fff800000000c6
802.241639277,4097,CarState,ffffffff00000000
802.241639277,4098,CarState,ffffd88b0000101e
802.241639277,4099,CarState,002712
802.241639277,4096,CarState,0000000000000000
802.247155163,542,1,b414cee0c000005e
802.247155163,543,1,b405c806200000d0
802.247155163,37,0,0ff9000040000075
802.247155163,37,130,0ff9000040000075
802.247155163,544,1,b4000000000000de
802.247155163,36,0,01ff01f1420380e3
802.247155163,545,1,b4000000000000df
802.247155163,36,130,01ff01f1420380e3
802.247155163,546,1,b40064000004044c
802.247155163,547,1,b4000000000000e1
802.247155163,548,1,b4000000000000e2
802.247155163,549,1,b4020000000404ed
802.247155163,740,128,f5000000e0
802.247155163,608,0,0800040000000379
802.247155163,608,130,0800040000000379
802.247155163,170,0,1a6f1a6f1a6f1a6f
802.247155163,170,130,1a6f1a6f1a6f1a6f
802.247155163,452,0,04391c080000406e
802.247155163,452,130,04391c080000406e
802.247155163,186,0,01f100b0
802.247155163,186,130,01f100b0
802.247155163,548,0,0000000000000008
802.247155163,548,130,0000000000000008
802.247155163,321,129,00000046
802.247155163,512,128,000000000d23
802.247155163,552,0,800000ae
802.247155163,552,130,800000ae
802.247155163,530,1,b4043200e80001ef
802.247155163,531,1,b4fff800000000c8
802.247155163,532,1,b4fff800000000c9
